link_id,body,author,parent_id
When did you realise teenage girls were as horny as you were.,When I got to high school and heard them bragging about being slutty. Multiple 16 year old girls dating college guys and older.
What’s the nicest thing you’ve ever done for someone you consider “a good friend”?,had a friend that was suffering from ptsd so for a year i would be with her every single night just holding her until she passed out then carrying her to bed and staying up all night just right outside her room. there were bad nights so id go in her room and just lay next to her and talked until she passed out and so id go back outside her room and just continue doing whatever i was doing outside her room. mostly listened to music with headphones. whenever i saw the room light up id just go in and be there for her. she sadly moved away but im sure if she didnt we would have gotten together.
When did you realise teenage girls were as horny as you were.,When i was 19 (yes im 23 year old man virgin) tbh i taught they suffered from having sex. Until a friend (girl) and i had a discussion about the subject..
What’s the nicest thing you’ve ever done for someone you consider “a good friend”?,"I loaned a friend $5,000 to get him out of a jam.  He paid it all back too."
When did you realise teenage girls were as horny as you were.,Probably not until I dated my high school sweetheart. Ever girl I've been with since then has had a higher sex drive than me.
What’s the nicest thing you’ve ever done for someone you consider “a good friend”?,"Gave one $500 as a wedding gift.  

Let one burn up the clutch on my Mustang so she could learn how to drive stick.  

Drove 100 miles to pick up a stranded dumbass in the middle of the night.  

Skipped class to drive another friend home because she didn't feel well enough to drive herself (about 20 miles).  I then grabbed another buddy, went back to school, and let my buddy drive my car back while I drove her car home for her (I treated friend number two to lunch for helping me out).

These are the first few that come to mind."
When did you realise teenage girls were as horny as you were.,I saw how many unsolicited nudes my attractive friends got.
How do you manage 9-5 only appointments when you work a 9-5?,Talk to HR maybe? Did you explain to your boss how about the seriousness of your situation?
How do you manage 9-5 only appointments when you work a 9-5?,"You need to tell your boss exactly what you just said here.
Edit-if he wants to be a cunt about it speak to a higher up or hr you have an actual medical condition and you need to see your physician seems within reason to Me."
How do you manage 9-5 only appointments when you work a 9-5?,Can you go AWOP for your appointments?
How do you manage 9-5 only appointments when you work a 9-5?,Go back on disability. Email or call your dr that filled out the disability payments and tell him/her that you made a mistake.
When did you realise teenage girls were as horny as you were.,"My very first BJ I ever got was when I was 16.  I was so nervous, I remember us making out and me touching her breast.  Then she basically pinned me down, and was pretty aggressive at taking my pants and underwear off...  Great BJ though btw!  So that's when I knew they were really horny too."
How do you manage 9-5 only appointments when you work a 9-5?,"If you're willing to take unpaid leave then you can do that. There can't be reprocussions if you've given your manager fair notice and have medical certificates. At least not in Australia. Don't know about whatever country you're in.

Otherwise get a job where you're appreciated or go to uni and study something where you'll have a career where you're valued and they'll let you take whatever time you need to get healthy.

That's what I did anyway. Although I'm not chronically I'll afaik, I have a 9-5 job and have to schedule in appointments and medical appointments and my work is extremely flexible because I'm valued."
What’s the nicest thing you’ve ever done for someone you consider “a good friend”?,Took the bullet and got arrested so my friend with federal law enforcement aspirations could keep a clean record.
How do you manage 9-5 only appointments when you work a 9-5?,"It means you need to find a job that wont interfere with all these medical appointments.  In other words, a job that is not strictly 9 to 5 daily.  These jobs do exist."
How do you manage 9-5 only appointments when you work a 9-5?,I agreed to always work weekends and got my job to guarentee me thursdays and fridays every week off. Best descision of my life
What’s the nicest thing you’ve ever done for someone you consider “a good friend”?,I gave them my four kidneys.
When did you realise teenage girls were as horny as you were.,"Never 

I’m 19, never had a first kiss or sex. I’ve got nothing to confirm there’s a girl just as horny as me."
Why is the “Emotionally Unavailable” girl so attractive to so many men?,"I dont know of its a ""thing"" to me and most people i know its just a instant attraction killer."
Why is the “Emotionally Unavailable” girl so attractive to so many men?,People like the things that they cant have.
How do you manage 9-5 only appointments when you work a 9-5?,Use FMLA....that's what it's for I think?
Why is the “Emotionally Unavailable” girl so attractive to so many men?,Maybe they just want a quick fuck and think that may be easier than trying to actually start a relationship? Idk. I can't say for sure as I'm not one of those guys who are interested in them.
Why is the “Emotionally Unavailable” girl so attractive to so many men?,"I don't know any men who want to date someone like that. Hookups, yes. Dating, no."
